epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,707.745,0.49289,0.66429,0.33164,0.00347,0.0923,0.94294,0.87805,0.90416,0.84734,0.97013,0.87805,0.92319,0.86906,0.40538,0.71839,0.21885,0.00284,0,0.00053975,0.00053975,0.00053975
61,718.944,0.50528,0.79026,0.34521,0.00322,0.07497,0.96985,0.87805,0.90761,0.85437,0.99679,0.90244,0.9451,0.90185,0.41714,0.7035,0.23591,0.00345,0,0.000515,0.000515,0.000515
62,730.185,0.51341,0.67822,0.32744,0.00332,0.08249,1,0.82921,0.90624,0.86494,1,0.82921,0.91824,0.89784,0.38954,0.66929,0.23914,0.00325,0,0.00049025,0.00049025,0.00049025
63,740.856,0.47945,0.68382,0.32991,0.00322,0.06903,0.97049,0.80216,0.89945,0.85212,0.97049,0.80216,0.91181,0.88647,0.39445,0.65992,0.28355,0.00346,0,0.0004655,0.0004655,0.0004655
64,752.684,0.49032,0.68788,0.33346,0.00334,0.07688,1,0.82731,0.90385,0.85959,1,0.82731,0.89833,0.86625,0.42278,0.67544,0.22665,0.00338,0,0.00044075,0.00044075,0.00044075
65,763.822,0.4774,0.62269,0.32705,0.00302,0.08983,0.99598,0.82927,0.90128,0.85471,0.99598,0.82927,0.8902,0.84253,0.39021,0.67894,0.22125,0.00263,0,0.000416,0.000416,0.000416
66,774.215,0.46754,0.58686,0.30125,0.00297,0.08881,0.93951,0.87805,0.90073,0.855,0.99858,0.82927,0.88628,0.83734,0.43741,0.70893,0.20993,0.00363,0,0.00039125,0.00039125,0.00039125
67,785.513,0.44031,0.56379,0.30954,0.00305,0.07762,0.94105,0.87805,0.90136,0.85229,1,0.82585,0.88716,0.85326,0.39986,0.74597,0.21212,0.00268,0,0.0003665,0.0003665,0.0003665
68,797.803,0.46002,0.54121,0.31736,0.00298,0.0759,0.94016,0.87805,0.9004,0.85395,0.9964,0.80488,0.8968,0.86051,0.39639,0.78284,0.23277,0.00292,0,0.00034175,0.00034175,0.00034175
69,809.437,0.43625,0.60428,0.31651,0.00292,0.06722,0.94097,0.87805,0.92167,0.8627,1,0.82766,0.88741,0.85226,0.38137,0.79465,0.23967,0.00303,0,0.000317,0.000317,0.000317
70,821.127,0.4924,0.56811,0.30805,0.003,0.08543,0.96558,0.82927,0.92117,0.86634,0.96558,0.82927,0.88609,0.85208,0.37118,0.77856,0.26377,0.00272,0,0.00029225,0.00029225,0.00029225
71,833.498,0.49472,0.64134,0.34218,0.00432,0.06602,1,0.8289,0.92199,0.85584,1,0.8289,0.88255,0.85138,0.37436,0.76242,0.23069,0.00259,0,0.0002675,0.0002675,0.0002675
72,844.855,0.47202,0.73012,0.32423,0.00447,0.07102,0.96476,0.90244,0.93175,0.85164,0.9969,0.82927,0.87622,0.84872,0.39417,0.77394,0.21586,0.00294,0,0.00024275,0.00024275,0.00024275
73,856.787,0.50725,0.69461,0.35056,0.00449,0.06208,0.97219,0.90244,0.93391,0.86308,1,0.82672,0.87277,0.84454,0.40784,0.8068,0.21256,0.00322,0,0.000218,0.000218,0.000218
74,868.28,0.4585,0.71278,0.30899,0.0042,0.07064,0.96653,0.85366,0.90834,0.86273,0.99956,0.82927,0.88046,0.84883,0.38359,0.82789,0.2087,0.00287,0,0.00019325,0.00019325,0.00019325
75,879.807,0.45802,0.79786,0.32174,0.004,0.05792,0.98975,0.90244,0.9372,0.86719,0.99641,0.82927,0.88202,0.84942,0.36928,0.83891,0.19333,0.00276,0,0.0001685,0.0001685,0.0001685
76,891.199,0.43473,0.73511,0.28802,0.00376,0.06613,0.96269,0.90244,0.93573,0.86906,1,0.82078,0.88227,0.84966,0.35394,0.83679,0.21427,0.00253,0,0.00014375,0.00014375,0.00014375
77,903.526,0.41585,0.58479,0.30066,0.00343,0.05706,0.98594,0.87805,0.93714,0.86668,0.97203,0.84772,0.87197,0.83486,0.35682,0.82768,0.20173,0.00259,0,0.000119,0.000119,0.000119
78,914.276,0.42569,0.78894,0.28522,0.00341,0.05783,0.99597,0.90244,0.93734,0.86995,0.97196,0.84566,0.87128,0.83463,0.33968,0.81111,0.20413,0.00208,0,9.425e-05,9.425e-05,9.425e-05
79,925.659,0.4172,0.67478,0.30462,0.00343,0.06253,0.98931,0.90244,0.9371,0.86633,0.97201,0.84728,0.87158,0.83846,0.34644,0.80154,0.19783,0.00226,0,6.95e-05,6.95e-05,6.95e-05
80,936.918,0.41788,0.72033,0.29726,0.00309,0.06937,0.96367,0.90244,0.93593,0.86532,0.99559,0.80488,0.8702,0.83773,0.33918,0.79189,0.20548,0.00208,0,4.475e-05,4.475e-05,4.475e-05
