epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,677.068,0.3471,0.33154,0.28636,0.00303,0.10327,0.98137,1,0.995,0.99491,0.98137,1,0.995,0.98232,0.1937,0.17328,0.14718,0.0029,0,0.000614,0.000614,0.000614
58,688.17,0.3526,0.31539,0.30722,0.00285,0.06435,0.99848,1,0.995,0.99125,0.99848,1,0.995,0.97722,0.17658,0.13189,0.12082,0.00278,0,0.00058925,0.00058925,0.00058925
59,699.237,0.30898,0.26189,0.27547,0.00277,0.08592,0.99289,0.96774,0.99406,0.99406,0.99289,0.96774,0.99406,0.98877,0.18605,0.1231,0.16075,0.00286,0,0.0005645,0.0005645,0.0005645
60,710.426,0.36316,0.28206,0.31115,0.00307,0.12093,0.93467,1,0.98936,0.9864,0.93467,1,0.98936,0.98687,0.20116,0.11919,0.15028,0.00302,0,0.00053975,0.00053975,0.00053975
61,721.988,0.38379,0.21622,0.3007,0.00339,0.07316,1,0.99875,0.995,0.98958,1,0.99875,0.995,0.99272,0.20526,0.12483,0.09984,0.00337,0,0.000515,0.000515,0.000515
62,733.187,0.34033,0.30795,0.29771,0.00315,0.06496,0.99263,1,0.995,0.995,0.99263,1,0.995,0.98915,0.16072,0.12313,0.08938,0.00248,0,0.00049025,0.00049025,0.00049025
63,744.786,0.34498,0.33177,0.30575,0.0032,0.10379,0.99728,0.96774,0.99406,0.99406,0.99728,0.96774,0.99406,0.9836,0.17966,0.1222,0.10744,0.00257,0,0.0004655,0.0004655,0.0004655
64,756.461,0.33258,0.24521,0.25966,0.0031,0.06376,0.99685,1,0.995,0.98602,0.99685,1,0.995,0.98254,0.24497,0.12314,0.10002,0.00393,0,0.00044075,0.00044075,0.00044075
65,767.436,0.36494,0.26428,0.30538,0.00294,0.08307,0.99724,1,0.995,0.99228,0.99724,1,0.995,0.99474,0.18167,0.1278,0.07978,0.00283,0,0.000416,0.000416,0.000416
66,779.053,0.33165,0.30994,0.29252,0.00292,0.05255,0.99764,1,0.995,0.99233,0.99764,1,0.995,0.98578,0.16797,0.12979,0.07022,0.00273,0,0.00039125,0.00039125,0.00039125
67,789.542,0.34254,0.23173,0.2875,0.00304,0.06213,0.99786,1,0.995,0.9924,0.99786,1,0.995,0.98603,0.18683,0.1281,0.0733,0.00262,0,0.0003665,0.0003665,0.0003665
68,801.765,0.29565,0.26378,0.2436,0.00244,0.06231,0.99765,1,0.995,0.995,0.99765,1,0.995,0.9835,0.16203,0.12274,0.06946,0.00265,0,0.00034175,0.00034175,0.00034175
69,812.647,0.31123,0.25732,0.25405,0.0027,0.06507,0.99751,1,0.995,0.995,0.99751,1,0.995,0.98356,0.14445,0.11842,0.06613,0.00222,0,0.000317,0.000317,0.000317
70,823.612,0.3,0.22077,0.25214,0.00237,0.06998,0.99708,1,0.995,0.995,0.99708,1,0.995,0.98457,0.14203,0.1154,0.06813,0.00207,0,0.00029225,0.00029225,0.00029225
71,835.953,0.25621,0.28545,0.2304,0.00359,0.07101,0.98287,1,0.995,0.995,0.98287,1,0.995,0.98909,0.15663,0.11336,0.09497,0.0023,0,0.0002675,0.0002675,0.0002675
72,847.484,0.22854,0.27189,0.21533,0.0032,0.07188,0.96708,1,0.99312,0.98752,0.96708,1,0.99312,0.99061,0.18033,0.11345,0.10603,0.00271,0,0.00024275,0.00024275,0.00024275
73,859.239,0.22052,0.21123,0.20173,0.00326,0.05258,0.96712,1,0.99312,0.99098,0.96712,1,0.99312,0.99069,0.15561,0.11314,0.09934,0.00224,0,0.000218,0.000218,0.000218
74,870.917,0.21603,0.28495,0.20574,0.00297,0.04849,0.99066,1,0.995,0.995,0.99066,1,0.995,0.98836,0.14856,0.11442,0.09066,0.00211,0,0.00019325,0.00019325,0.00019325
75,883.403,0.23565,0.25403,0.1883,0.00315,0.05093,0.96812,0.96774,0.99406,0.99406,0.96812,0.96774,0.99406,0.98727,0.12884,0.11592,0.1001,0.00174,0,0.0001685,0.0001685,0.0001685
76,895.04,0.23792,0.24832,0.19739,0.00347,0.04842,0.99933,1,0.995,0.9928,0.99933,1,0.995,0.9926,0.17992,0.12165,0.08266,0.00246,0,0.00014375,0.00014375,0.00014375
77,906.495,0.24478,0.27301,0.18375,0.00349,0.05445,0.99909,1,0.995,0.995,0.99909,1,0.995,0.99268,0.13389,0.12495,0.06641,0.00186,0,0.000119,0.000119,0.000119
78,918.274,0.19823,0.23767,0.1783,0.00265,0.04299,1,0.99658,0.995,0.995,1,0.99658,0.995,0.98893,0.12241,0.12572,0.06557,0.00181,0,9.425e-05,9.425e-05,9.425e-05
79,931.138,0.19424,0.18468,0.16831,0.0025,0.0428,1,0.98721,0.995,0.995,1,0.98721,0.995,0.98895,0.12187,0.12472,0.06988,0.00188,0,6.95e-05,6.95e-05,6.95e-05
80,943.446,0.20288,0.29738,0.18433,0.0029,0.05221,0.9662,1,0.99312,0.99312,0.9662,1,0.99312,0.99058,0.126,0.12423,0.07881,0.00192,0,4.475e-05,4.475e-05,4.475e-05
